MONTH,BWI - total,DCA -total,IAD -total,,BWI - cancelled flights,DCA - cancelled flights,IAD - cancelled flights,,BWI - delayed flights,DCA - delayed flights,IAD - delayed flights
1,6908,6683,3625,,158,329,79,,1618,944,905
2,6236,6229,2957,,335,561,141,,1585,1122,680
3,7725,6999,3030,,332,370,87,,1943,1175,700
4,7885,6841,2957,,44,58,25,,1521,863,517
5,8175,6951,3243,,71,85,21,,1734,1164,670
6,8351,6694,3321,,258,178,75,,2638,1287,975
7,8736,6891,3307,,52,105,36,,2889,1134,759
8,8316,6968,3220,,145,132,34,,2192,1092,632
9,7719,6591,2925,,31,65,9,,1421,799,411
10,8009,6819,2990,,20,49,11,,1402,810,366
11,7886,6473,2693,,31,52,17,,1334,806,317
12,7785,6279,2710,,73,92,29,,1937,1124,453
