iata,name,city,state,country,latitude,longitude,count,del_count,can_count
ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944,BWI - 573,BWI - 124,BWI - 5
ACK,Nantucket Memorial,Nantucket,MA,USA,41.25305194,-70.06018139,BWI - 41,BWI - 10,BWI - 2
ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861,"BWI - 1876, IAD - 3","BWI - 262, IAD -1","BWI - 38,  IAD - 0"
ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,"BWI - 6415, IAD - 2853, DCA -7073","BWI - 1146, DCA - 1274, IAD - 498","BWI - 71, DCA - 98, IAD - 17"
AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194,"BWI - 704, DCA - 365, IAD - 110","BWI - 142, DCA - 46, IAD - 15 ","BWI - 13, DCA - 5, IAD - 1"
BDL,Bradley International,Windsor Locks,CT,USA,41.93887417,-72.68322833,"BWI - 2427, DCA - 726, IAD - 172 ","BWI - 400, DCA - 122, IAD 172 48 13","BWI - 55, DCA - 10, IAD - 13"
BHM,Birmingham International,Birmingham,AL,USA,33.56294306,-86.75354972,BWI - 647,BWI -120,BWI -9
BNA,Nashville International,Nashville,TN,USA,36.12447667,-86.67818222,"BWI - 2054, DCA - 1080, IAD - 32","BWI - 457, DCA - 164, IAD - 6","BWI - 61, DCA - 31, IAD - 0"
BOS,Gen Edw L Logan Intl,Boston,MA,USA,42.3643475,-71.00517917,"BWI - 4857, DCA - 8417, IAD - 2238","BWI - 888, DCA - 1053, IAD - 342","BWI - 116, DCA - 269, IAD - 36"
BTR,"Baton Rouge Metropolitan, Ryan",Baton Rouge,LA,USA,30.53316083,-91.14963444,DCA - 1,DCA -1,DCA - 0
BTV,Burlington International,Burlington,VT,USA,44.47300361,-73.1503125, IAD -7,IAD - 3,IAD - 0
BUF,Buffalo Niagara Intl,Buffalo,NY,USA,42.94052472,-78.73216667,"BWI - 1985, IAD - 36","BWI - 353, IAD - 6","BWI - 38, IAD - 1"
BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,,,
CAE,Columbia Metropolitan,Columbia,SC,USA,33.93884,-81.11953944,IAD - 194,IAD -53,IAD - 9
CAK,Akron-Canton Regional,Akron,OH,USA,40.91631194,-81.44246556,DCA -304,DCA -53,DCA -6
CHS,Charleston AFB/International,Charleston,SC,USA,32.89864639,-80.04050583,,,
CLE,Cleveland-Hopkins Intl,Cleveland,OH,USA,41.41089417,-81.84939667,,,
