origin,destination,count,del_count,can_count,
ABQ,BWI,573,124,5,
ACK,DCA,41,10,2,
ALB,BWI,1876,262,38,
ALB,IAD,3,1,0,
ATL,BWI,6415,1146,71,
ATL,DCA,7073,1274,98,
ATL,IAD,2853,498,17,
AUS,BWI,704,142,13,
AUS,DCA,365,46,5,
AUS,IAD,110,15,1,
BDL,BWI,2427,400,55,
BDL,DCA,726,122,10,
BDL,IAD,172,48,13,
BHM,BWI,647,120,9,
BNA,BWI,2054,457,61,
BNA,DCA,1080,164,31,
BNA,IAD,32,6,0,
BOS,BWI,4857,888,116,
BOS,DCA,8417,1053,269,
BOS,IAD,2238,342,36,
BTR,DCA,1,1,0,
BTV,IAD,7,3,0,
BUF,BWI,1985,353,38,
BUF,IAD,36,6,1,
BWI,ABQ,573,142,6,
BWI,ALB,1879,484,42,
BWI,ATL,6418,1130,69,
BWI,AUS,687,195,12,
BWI,BDL,2407,727,61,
BWI,BHM,649,163,12,
BWI,BNA,2068,512,55,
BWI,BOS,4838,1114,112,
BWI,BUF,1979,578,36,
BWI,CHS,1117,257,18,
BWI,CLE,1308,331,16,
BWI,CLT,3694,520,52,
BWI,CMH,1553,371,26,
BWI,DAL,1209,369,16,
BWI,DAY,756,191,18,
BWI,DEN,2086,563,23,
BWI,DFW,1922,390,33,
BWI,DTW,2645,484,25,
BWI,EWR,306,51,13,
BWI,FLL,4286,1086,54,
BWI,FNT,569,147,12,
BWI,GRR,709,185,14,
BWI,GSP,406,100,5,
BWI,HOU,1160,306,21,
BWI,IAH,1121,290,22,
BWI,IND,1116,287,22,
BWI,ISP,1695,451,58,
BWI,JAX,1197,351,15,
BWI,JFK,364,74,24,
BWI,LAS,1866,486,13,
BWI,LAX,1264,365,11,
BWI,LIT,350,106,11,
BWI,MCI,869,219,17,
BWI,MCO,3334,861,50,
BWI,MDW,2178,510,74,
BWI,MEM,419,84,4,
BWI,MHT,2439,615,50,
BWI,MIA,1178,175,12,
BWI,MKE,942,233,12,
BWI,MSP,1154,189,7,
BWI,MSY,890,210,8,
BWI,MYR,233,57,1,
BWI,OAK,355,91,2,
BWI,OKC,365,144,5,
BWI,ORD,2758,552,90,
BWI,ORF,1266,389,23,
BWI,PBI,1025,298,4,
BWI,PDX,63,18,1,
BWI,PHX,1732,344,13,
BWI,PIT,1050,255,15,
BWI,PVD,2763,665,58,
BWI,PWM,1095,260,24,
